peppermint,dittany,lavender,ginger_root_width(mm),powdered_dragon_claw(mg),fluxweed(mg),drops_of_tree_wood_oil,fire_seed,rose_petal,daisy_root_width,daisy_root_height,water(ml),dragon_blood(ml),porcupine_quills,drops_of_red_wine,gillyweed(mg),honey(mg),morning_dew,ginger_root_height(mm),leech_juice(ml)
1.0,0.0,1.0,0.17222963951935915672,0.10000000000000000555,0.8571428571428570953,0.42624265098877606173,0.0,0.0,0.7222222222222222099,0.7142857142857143016,0.6564171122994651997,0.11111111111111111882,0.0,0.05555555555555555247,56.0,4.1,1.0,0.27244740892765523244,0.8000000000000000444
1.0,1.0,1.0,0.33845126835781041974,0.4500000000000000111,0.14285714285714284921,0.20016034206306787535,1.0,0.0,0.11111111111111110494,0.5,0.23395721925133688979,1.0,0.66666666666666662966,0.38888888888888889506,56.0,4.3,0.0,0.40430990251410980907,0.1749999999999999889
1.0,1.0,1.0,0.63818424566088116645,0.5999999999999999778,1.0,0.7434526990913949973,0.0,1.0,0.38888888888888889506,0.7142857142857143016,0.63502673796791442307,0.55555555555555558023,0.88888888888888883955,0.27777777777777779011,59.0,2.5,0.0,0.4166239096972806366,0.84166666666666667407
1.0,0.0,0.0,0.83044058744993320964,0.5,0.7142857142857143016,0.1948156066274719378,1.0,0.0,0.61111111111111116045,0.5,0.64906417112299463756,0.44444444444444447528,0.27777777777777779011,0.05555555555555555247,38.0,4.8,1.0,0.7449974345818368704,0.41666666666666668517
1.0,1.0,0.0,0.08077436582109479013,0.8000000000000000444,0.7142857142857143016,0.7282202030999465059,1.0,1.0,0.33333333333333331483,0.7142857142857143016,0.30748663101604278847,0.22222222222222223764,0.27777777777777779011,0.55555555555555558023,53.0,3.5,1.0,0.28424833247819392135,0.5999999999999999778
0.0,1.0,0.0,0.37182910547396530454,0.8000000000000000444,0.28571428571428569843,0.9211651523249598794,1.0,1.0,0.05555555555555555247,0.57142857142857139685,0.06818181818181817677,0.66666666666666662966,0.38888888888888889506,0.16666666666666665741,37.0,4.5,0.0,0.35505387378142638788,0.38333333333333335924
1.0,0.0,0.0,0.12082777036048064634,0.0,1.0,0.06600748262960982882,0.0,0.0,0.16666666666666665741,0.14285714285714284921,0.471925133689839571,0.22222222222222223764,0.16666666666666665741,0.0,60.0,2.5,1.0,0.2083119548486403183,0.26666666666666666297
1.0,0.0,0.0,0.42256341789052070945,0.4000000000000000222,0.57142857142857139685,0.107161945483698561876,1.0,1.0,0.16666666666666665741,0.14285714285714284921,0.74532085561497329884,0.0,0.0,0.16666666666666665741,54.0,4.3,1.0,0.0774756285274499773,0.16666666666666665741
1.0,1.0,1.0,0.93391188251001333587,0.9499999999999999556,0.8571428571428570953,0.6365579903794762462,0.0,0.0,0.88888888888888883955,1.0,0.48128342245989302883,0.33333333333333331483,0.66666666666666662966,0.38888888888888889506,37.0,4.3,1.0,0.39250897896357106465,0.5999999999999999778
1.0,0.0,0.0,0.69292389853137514866,0.5,1.0,0.58872260823089261894,1.0,1.0,0.05555555555555555247,0.6428571428571429047,0.16310160427807487982,0.7777777777777776791,0.7777777777777777901,0.27777777777777779011,37.0,2.6,1.0,0.04566444330425859649,0.18333333333333332038
